10 alto | alta | tall, high
10 bajo | baja | short, low
10 duro | dura | tough
10 fuerte | - | strong
10 grande | - | large, great, big
10 pequeño | pequeña | little, small, young
10 triste | - | sad, unhappy
9 aburrido | aburrida | boring, bored
9 agradable | - | nice and “friendly”
9 amable | - | kind, nice, friendly
9 bueno | buena | good
9 caliente | - | hot, warm, spirited
9 dulce | - | sweet
9 débil | - | weak
9 feliz | - | happy, fortunate
9 fácil | - | easy
9 malo | mala | bad
9 nuevo | nueva | new
9 rico | rica | pleasant tasting
9 rápido | rápida | quick, fast
9 viejo | vieja | old, aged
8 amargo | amarga | bitter, sour, painful
8 feo | fea | ugly, nasty, rude
8 frío | fría | cold
8 joven | - | young
8 pobre | - | poor
8 seco | seca | viciado
8 simple | - | simple, mere, simple-minded
8 tranquilo | tranquila | calm, tranquil, relaxed
7 abierto | abierta | open, unlocked
7 ancho | ancha | wide
7 azul | - | blue
7 blando | blanda | soft, limp, gentle
7 bonito | bonita | nice, pretty
7 difícil | - | difficult, hard
7 divertido | divertida | funny, amusing
7 estrecho | estrecha | narrow
7 gordo | gorda | fat, thick
7 inteligente | - | intelligent
7 interesante | - | interesting
7 largo | larga | long
7 lento | lenta | slow
7 limpio | limpia | clean
7 oscuro | oscura | dark, obscure
7 pesado | pesada | heavy, boring, tiresome
7 rojo | roja | red
7 sencillo | sencilla | simple (unassuming) 
7 tonto | tonta | simple (stupid)
7 tímido | tímida | timid, shy, half-hearted
7 verde | - | green
6 blanco | blanca | white
6 complicado | complicada | complicated, complex
6 contento | contenta | happy, content
6 corto | corta | short, brief
6 delgado | delgada | thin, slim, lean
6 desagradable | - | distasteful
6 famoso | famosa | famous, well-known
6 helado | helada | iced, freezing, icy
6 hermoso | hermosa | beautiful, lovely
6 importante | - | important
6 lleno | llena | full, ﬁlled
6 negro | negra | black
6 peligroso | peligrosa | dangerous
6 popular | - | popular
6 raro | rara | strange, rare, scarce
6 seguro | segura | safe, sure, secure
6 sucio | sucia | dirty, ﬁlthy, underhanded
6 valiente | - | brave, courageous, bold
6 útil | - | useful 
5 afortunado | afortunada | fortunate
5 alegre | - | happy, lively, cheerful
5 amarillo | amarilla | yellow
5 atractivo | atractiva | attractive
5 barato | barata | inexpensive
5 brillante | - | brilliant, shiny, sparkling
5 capaz | - | capable, able
5 caro | cara | expensive, difﬁcult, dear
5 cerrado | cerrada | closed-minded 
5 claro | clara | clear
5 delicioso | deliciosa | delicious, delightful, charming
5 diferente | - | different, separate
5 educado | educada | educated
5 enfermo | enferma | ill, sick
5 generoso | generosa | generous
5 grueso | gruesa | thick
5 guapo | guapa | handsome, beautiful
5 imposible | - | impossible
5 inútil | - | useless
5 ligero | ligera | light, light-weight, slight
5 listo | lista | ready, quick-witted
5 loco | loca | crazy, insane
5 maduro | madura | mature, ready
5 relajado | relajada | laid-back 
5 serio | seria | serious
5 simpático | simpática | nice, likeable, friendly
5 suave | - | soft, gentle, mild
5 vacío | vacía | empty, vacant
5 verdadero | verdadera | true, real
4 amigable | - | amicable
4 antiguo | antigua | old, ancient, former
4 ardiente | - | passionate, ardent
4 asombroso | asombrosa | astounding 
4 bello | bella | beautiful, ﬁne
4 cansado | cansada | tired, tiresome
4 complejo | compleja | complex, complicated
4 común | - | common
4 correcto | correcta | correct, suitable
4 delicado | delicada | delicate 
4 desafortunado | desafortunada | unfortunate 
4 directo | directa | direct, straight
4 elegante | - | elegant, smart, stylish
4 enorme | - | enormous, vast
4 estupendo | estupenda | marvelous, stupendous
4 estúpido | estúpida | stupid, idiotic
4 excelente | - | excellent
4 extraño | extraña | strange, foreign
4 extrovertido | extrovertida | extroverted 
4 falso | falsa | false, untrue
4 fresco | fresca | cool, healthy, fresh
4 gracioso | graciosa | funny (but it can also be used ironically)
4 grosero | grosera | crude, rude, crass
4 horrible | - | horrible
4 húmedo | húmeda | humid, damp
4 increíble | - | incredible, unbelievable
4 independiente | - | independent, self-sufﬁcient
4 ingenuo | ingenua | naive, ingenuous
4 luminoso | luminosa | bright, luminous
4 mayor | - | larger, older, main
4 moderno | moderna | modern
4 muerto | muerta | dead
4 perfecto | perfecta | perfect
4 picante | - | piquant
4 posible | - | possible
4 profundo | profunda | deep, profound
4 salado | salada | salty
4 sano | sana | healthy, wholesome
4 sincero | sincera | sincere
4 solo | sola | lonely, alone
4 tacaño | tacaña | stingy
4 terrible | - | terrible
4 tierno | tierna | tender, soft
4 torpe | - | clumsy, awkward, slow
4 trabajador | - | hardworking 
4 vivo | viva | alive, bright
4 áspero | áspera | rough, coarse, harsh
3 activo | activa | active
3 actual | - | current
3 ambicioso | ambiciosa | ambitious, greedy
3 amplio | amplia | wide, ample, broad
3 apretado | apretada | tight, jammed
3 argentino | argentina | argentinean
3 artístico | artística | artistic
3 asqueroso | asquerosa | loathsome, disgusting, vile
3 baboso | - | moronic, idiotic
3 bruto | bruta | brutal, coarse, clumsy
3 cariñoso | cariñosa | affectionate
3 celoso | celosa | jealous
3 central | - | central
3 cercano | cercana | close
3 conocido | conocida | famous
3 crudo | cruda | raw, crude, natural
3 cualquier | - | any
3 cuidadoso | cuidadosa | careful, cautious
3 culto | culta | cultured, educated
3 curioso | curiosa | curious, strange
3 dinámico | dinámica | dynamic 
3 distinto | distinta | distinct, different
3 egoísta | - | selfish 
3 encantador | - | delightful
3 enfadado | enfadada | angry
3 enojado | enojada | angry
3 equivocado | equivocada | mistaken, wrong
3 especial | - | special
3 espontáneo | espontánea | spontaneous 
3 exterior | - | exterior, outside
3 familiar | - | familiar, of the family
3 fantástico | fantástica | fantastic, unreal
3 final | - | final
3 fino | fina | thin
3 flaco | flaca | skinny, wiry
3 frágil | - | fragile, weak
3 genial | - | brilliant, inspired
3 honesto | honesta | honest 
3 humilde | - | humble, modest
3 igual | - | equal, same (as)
3 indiferente | - | indifferent 
3 intenso | intensa | intense, acute
3 libre | - | free, vacant
3 liso | lisa | smooth, flat, straight
3 maravilloso | maravillosa | wonderful, marvelous
3 mejor | - | best, better
3 menor | - | younger, youngest
3 modesto | modesta | modest, humble
3 mojado | mojada | wet
3 moreno | morena | tanned or “brown-haired”
